track_id,team,frames_tracked,avg_speed_kmh,max_speed_kmh,total_distance_px
1,unknown,110,17.2,60.0,323.5
3,unknown,110,9.5,60.0,78.2
4,team_A,11,6.63,25.02,13.4
5,team_A,1,0.0,0.0,0.0
6,unknown,1,0.0,0.0,0.0
7,referee,2,14.24,14.24,3.2
9,referee,2,0.01,0.01,0.0
11,referee,1,0.0,0.0,0.0
12,referee,1,0.0,0.0,0.0
13,unknown,2,0.02,0.02,0.0
14,team_A,22,19.2,60.0,88.6
15,referee,1,0.0,0.0,0.0
16,referee,2,0.0,0.0,0.0
17,team_A,1,0.0,0.0,0.0
19,team_A,6,13.05,19.04,11.6
20,referee,2,0.02,0.02,0.0
21,referee,2,22.63,22.63,4.1
26,team_A,5,26.79,60.0,21.3
27,team_A,1,0.0,0.0,0.0
28,team_A,1,0.0,0.0,0.0
29,team_A,2,0.09,0.09,0.0
30,team_A,2,1.76,1.76,0.0
31,team_A,1,0.0,0.0,0.0
32,team_A,7,21.32,52.54,23.8
34,team_A,2,0.02,0.02,0.0
35,team_A,1,0.0,0.0,0.0
36,team_A,1,0.0,0.0,0.0
37,team_A,15,29.91,60.0,79.6
38,team_A,2,0.12,0.12,0.0
39,referee,1,0.0,0.0,0.0
42,team_A,1,0.0,0.0,0.0
43,team_A,2,0.04,0.04,0.0
44,team_A,2,0.0,0.0,0.0
45,team_A,2,0.06,0.06,0.0
46,team_A,1,0.0,0.0,0.0
47,team_A,1,0.0,0.0,0.0
48,team_A,2,32.42,32.42,6.3
50,team_A,3,7.54,15.07,3.0
52,team_A,1,0.0,0.0,0.0
53,team_A,1,0.0,0.0,0.0
54,team_A,1,0.0,0.0,0.0
55,referee,4,20.6,34.5,11.7
56,team_A,5,10.53,23.0,8.0
57,team_A,2,9.51,9.51,2.0
58,team_A,1,0.0,0.0,0.0
59,team_A,1,0.0,0.0,0.0
60,team_A,2,0.06,0.06,0.0
65,unknown,3,7.76,15.49,3.2
66,team_A,1,0.0,0.0,0.0
68,unknown,1,0.0,0.0,0.0
69,team_A,2,13.04,13.04,2.0
71,team_A,1,0.0,0.0,0.0
72,unknown,1,0.0,0.0,0.0
73,unknown,1,0.0,0.0,0.0
74,unknown,1,0.0,0.0,0.0
76,unknown,1,0.0,0.0,0.0
78,unknown,1,0.0,0.0,0.0
80,team_A,14,34.3,60.0,86.4
81,unknown,7,20.28,42.65,23.3
82,team_A,28,5.39,15.86,32.2
83,unknown,1,0.0,0.0,0.0
86,team_A,5,5.54,10.61,4.2
91,team_A,1,0.0,0.0,0.0
93,unknown,20,14.26,44.96,52.0
97,team_A,1,0.0,0.0,0.0
98,team_A,1,0.0,0.0,0.0
100,team_A,5,34.8,60.0,28.4
102,unknown,2,14.15,14.15,3.2
103,referee,1,0.0,0.0,0.0
107,unknown,1,0.0,0.0,0.0
116,team_A,1,0.0,0.0,0.0
117,team_A,3,12.16,14.3,5.4
118,team_A,2,9.27,9.27,1.4
119,referee,11,21.34,60.0,45.3
120,team_A,3,3.18,6.35,1.0
131,team_A,1,0.0,0.0,0.0
132,unknown,2,7.54,7.54,1.0
133,team_A,3,27.04,47.46,10.4
138,unknown,2,5.62,5.62,1.4
140,team_A,1,0.0,0.0,0.0
143,team_A,1,0.0,0.0,0.0
146,unknown,3,4.42,4.8,2.0
148,unknown,1,0.0,0.0,0.0
156,team_A,2,39.19,39.19,7.0
161,team_A,1,0.0,0.0,0.0
162,team_A,2,60.0,60.0,14.0
172,unknown,1,0.0,0.0,0.0
173,team_A,1,0.0,0.0,0.0
174,unknown,1,0.0,0.0,0.0
183,unknown,1,0.0,0.0,0.0
188,unknown,1,0.0,0.0,0.0
192,team_A,1,0.0,0.0,0.0
195,team_A,12,11.81,22.91,26.1
196,team_A,4,20.91,37.12,11.7
197,team_A,6,20.69,28.24,20.0
199,team_A,1,0.0,0.0,0.0
201,team_A,1,0.0,0.0,0.0
202,team_A,2,1.23,1.23,0.0
204,team_A,8,25.95,60.0,37.6
205,team_A,1,0.0,0.0,0.0
207,team_A,1,0.0,0.0,0.0
210,team_A,1,0.0,0.0,0.0
211,team_A,1,0.0,0.0,0.0
212,team_A,1,0.0,0.0,0.0
213,team_A,5,11.85,28.0,9.7
214,team_A,1,0.0,0.0,0.0
215,team_A,3,16.18,21.62,5.8
217,team_A,2,59.74,59.74,11.2
223,team_A,6,17.51,49.66,17.1
224,team_A,9,7.97,14.54,12.8
226,team_A,7,20.31,60.0,28.3
228,team_A,4,13.52,21.51,7.7
229,team_A,2,10.29,10.29,2.0
231,team_A,1,0.0,0.0,0.0
232,team_A,2,19.76,19.76,3.2
233,team_A,3,24.55,34.91,8.9
234,team_A,2,0.09,0.09,0.0
235,team_A,7,5.22,12.15,5.0
236,team_A,3,5.46,10.91,2.2
237,team_A,1,0.0,0.0,0.0
238,team_A,3,16.26,26.93,6.8
239,team_A,2,10.66,10.66,2.0
240,team_A,6,18.28,37.93,17.3
241,team_A,5,10.24,20.09,7.5
242,team_A,1,0.0,0.0,0.0
243,team_A,1,0.0,0.0,0.0
244,team_A,1,0.0,0.0,0.0
245,team_A,1,0.0,0.0,0.0
248,team_A,1,0.0,0.0,0.0
249,team_A,8,10.65,24.09,13.7
250,unknown,1,0.0,0.0,0.0
252,team_A,2,0.09,0.09,0.0
255,unknown,1,0.0,0.0,0.0
261,unknown,1,0.0,0.0,0.0
262,unknown,1,0.0,0.0,0.0
263,team_A,4,5.52,10.99,3.2
267,unknown,1,0.0,0.0,0.0
273,unknown,1,0.0,0.0,0.0
274,team_A,3,3.51,7.01,1.0
277,unknown,1,0.0,0.0,0.0
286,unknown,1,0.0,0.0,0.0
289,unknown,1,0.0,0.0,0.0
290,unknown,1,0.0,0.0,0.0
295,team_A,1,0.0,0.0,0.0
296,unknown,1,0.0,0.0,0.0
297,unknown,1,0.0,0.0,0.0
298,unknown,1,0.0,0.0,0.0
299,unknown,1,0.0,0.0,0.0
300,unknown,1,0.0,0.0,0.0
301,team_A,3,12.52,16.76,4.5
302,unknown,1,0.0,0.0,0.0
303,unknown,9,22.38,52.36,33.6
304,unknown,8,19.56,25.56,25.6
305,team_A,5,42.04,60.0,78.4
306,team_A,2,60.0,60.0,27.8
307,team_A,6,31.35,60.0,102.7
308,team_A,1,0.0,0.0,0.0
312,team_A,3,32.21,60.0,50.5
314,team_A,4,40.52,60.0,65.4
315,team_A,11,42.2,60.0,170.9
316,team_A,3,30.07,60.0,17.7
317,team_A,3,60.0,60.0,52.1
318,team_A,31,43.83,60.0,378.8
323,team_A,1,0.0,0.0,0.0
324,unknown,1,0.0,0.0,0.0
325,unknown,1,0.0,0.0,0.0
328,team_A,12,47.34,60.0,158.3
329,team_A,1,0.0,0.0,0.0
330,unknown,1,0.0,0.0,0.0
331,unknown,1,0.0,0.0,0.0
333,team_A,17,33.79,60.0,128.3
335,unknown,2,0.0,0.0,0.0
336,team_A,4,14.38,39.46,8.1
337,team_A,1,0.0,0.0,0.0
340,team_A,1,0.0,0.0,0.0
342,team_A,34,41.58,60.0,276.8
343,team_A,1,0.0,0.0,0.0
346,team_A,13,35.87,60.0,80.9
349,team_A,65,25.88,57.87,418.1
351,team_A,45,28.3,52.57,273.6
352,team_A,37,31.62,60.0,295.5
354,team_A,2,43.74,43.74,8.2
356,team_A,1,0.0,0.0,0.0
358,team_A,56,35.48,60.0,476.0
359,team_A,1,0.0,0.0,0.0
361,team_A,20,29.91,60.0,124.3
362,team_A,1,0.0,0.0,0.0
365,team_A,2,60.0,60.0,22.2
371,team_A,8,19.34,49.17,25.9
373,team_A,1,0.0,0.0,0.0
374,team_A,1,0.0,0.0,0.0
375,team_A,1,0.0,0.0,0.0
379,team_A,8,41.63,60.0,64.6
381,team_A,14,36.86,60.0,144.6
382,team_A,9,26.12,60.0,56.3
384,team_A,9,35.8,60.0,66.4
386,team_A,2,43.12,43.12,8.1
387,team_A,1,0.0,0.0,0.0
388,team_A,8,48.39,60.0,79.7
390,team_A,1,0.0,0.0,0.0
392,team_A,5,35.67,53.02,26.5
395,team_A,3,10.14,19.83,4.0
396,unknown,1,0.0,0.0,0.0
402,team_A,3,5.0,9.16,2.0
403,team_A,24,43.74,60.0,375.4
404,team_A,1,0.0,0.0,0.0
405,team_A,1,0.0,0.0,0.0
414,team_A,12,50.02,60.0,281.4
415,team_A,2,43.78,43.78,8.0
418,team_A,5,56.55,60.0,73.2
422,team_A,1,0.0,0.0,0.0
423,team_A,2,60.0,60.0,41.1
424,team_A,87,37.64,60.0,745.1
425,team_A,6,41.86,60.0,54.4
427,team_A,20,29.5,60.0,131.4
428,team_A,1,0.0,0.0,0.0
431,team_A,30,39.74,60.0,327.2
435,team_A,4,36.71,60.0,22.8
438,team_A,1,0.0,0.0,0.0
440,team_A,24,33.96,60.0,188.9
442,team_A,3,30.12,60.0,15.1
443,team_A,3,25.47,50.92,9.1
447,team_A,4,60.0,60.0,53.2
449,team_A,5,20.49,41.45,15.4
450,team_A,2,60.0,60.0,31.1
452,team_A,1,0.0,0.0,0.0
454,team_A,1,0.0,0.0,0.0
458,team_A,1,0.0,0.0,0.0
460,team_A,2,60.0,60.0,13.0
463,team_A,1,0.0,0.0,0.0
465,team_A,9,3.83,9.72,5.2
466,team_A,28,32.55,60.0,279.4
467,team_A,2,0.02,0.02,0.0
468,team_A,2,23.98,23.98,4.0
469,team_A,9,23.88,43.55,35.5
470,unknown,40,27.29,60.0,251.1
471,unknown,24,24.15,60.0,102.3
472,unknown,29,28.97,60.0,187.0
473,team_A,6,12.45,24.66,11.4
474,team_A,1,0.0,0.0,0.0
475,unknown,2,0.43,0.43,0.0
476,unknown,1,0.0,0.0,0.0
478,unknown,1,0.0,0.0,0.0
479,unknown,1,0.0,0.0,0.0
